【基本】商品名,メーカー名,【基本】生産地,甘辛度,香り,スペック,ギフト,クール,【セット】単価,【基本】キャッチコピー,説明詳細,【基本】画像
紀土 大吟醸,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,2100,"山田錦を35％まで磨いた贅沢なお酒
綺麗で優しい味わいの食中酒",,https://www.af-1.jp/bottle/10532.jpg
紀土 特別純米 カラクチキッド,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,2100,ふんわりカラクチ心地よい刺激！,,https://www.af-1.jp/bottle/11317.jpg
紀土 特別純米 カラクチキッド,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1050,ふんわりカラクチ心地よい刺激！,,https://www.af-1.jp/bottle/11317.jpg
紀土 特別純米酒 雄町,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,2600,「紀土」が醸す雄町。  雄町ならではの豊かで深い味わい。,,https://www.af-1.jp/bottle/12087.jpg
紀土 特別純米酒 雄町,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1300,「紀土」が醸す雄町。  雄町ならではの豊かで深い味わい。,,https://www.af-1.jp/bottle/12087.jpg
紀土 無量山 純米,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1900,紀土が込めた日本酒への想いそれは時代を超えて。,,https://www.af-1.jp/bottle/11786.jpg
紀土 無量山 純米 雄町,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,2600,無量山の雄町には上品さと力強さがあります。,,https://www.af-1.jp/bottle/12106.jpg
紀土 無量山 純米吟醸,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,2300,これぞ世界の頂点！！ IWC最優秀賞「チャンピオン・サケ」受賞！！,,https://www.af-1.jp/bottle/11787.jpg
紀土 無量山 純米大吟醸 25% (箱入),平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,50000,平和酒造の旨さの結晶人生の節目に,,https://www.af-1.jp/bottle/12475.jpg
紀土 無量山 純米大吟醸 30% 黒ﾗﾍﾞﾙ,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,20000,"プレミアムなお酒
最高の紀土",,https://www.af-1.jp/bottle/12105.jpg
紀土 無量山 純米大吟醸,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,2800,平和酒造の思いを宿した 極みの純米大吟醸！！,,https://www.af-1.jp/bottle/11811.jpg
紀土 無量山 純米大吟醸35%,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,10000,"洗礼された上品さ
新たに最高峰シリーズの登場です",,https://www.af-1.jp/bottle/12111.jpg
紀美野 純米,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,2370,フルーティーな中に感じられる凛とした米の味安いのに旨いクセになる味,,https://www.af-1.jp/bottle/10848.jpg
紀美野 純米吟醸,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,2800,上品、キレ、綺麗な酒質と三拍子揃ったお酒,,https://www.af-1.jp/bottle/10849.jpg
純真無垢 純米大吟醸,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,2730,「純米大吟醸」「全量山田錦」「高野山の伏流水」この価格、間違いではないんです！,,https://www.af-1.jp/bottle/10951.jpg
紀土 無量山 純米大吟醸 20%,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,120000,"世界王者の貫録を見せつける
平和酒造最高精米酒",,https://www.af-1.jp/bottle/12880.jpg
紀土 Miyazaki's 純米吟醸 雄町 生,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,3600,平和酒造の新しい取り組み！「杜氏資格保有者シリーズ」第一弾！！,,https://www.af-1.jp/bottle/13003.jpg
紀土 Miyazaki's 純米吟醸 雄町 生,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1800,平和酒造の新しい取り組み！「杜氏資格保有者シリーズ」第一弾！！,,https://www.af-1.jp/bottle/13003.jpg
本紀土 純米吟醸酒,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,2560,"紀土が考える新たなる
日本酒の本質",,https://www.af-1.jp/bottle/13255.jpg
本紀土 純米吟醸酒,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1280,"紀土が考える新たなる
日本酒の本質",,https://www.af-1.jp/bottle/13255.jpg
紀土 あがらの純米大吟醸 (箱入),平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,4000,"蔵人たちと和歌山の米栽培農家の思いが込められた
あがら(＝私たち)のお酒",,https://www.af-1.jp/bottle/11383.jpg
紀土 純米 あがらの酒,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,2400,蔵人たちと和歌山の米栽培農家の思いが込められたあがら(＝私たち)のお酒,,https://www.af-1.jp/bottle/10845.jpg
紀土 純米 あがらの酒,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1200,蔵人たちと和歌山の米栽培農家の思いが込められたあがら(＝私たち)のお酒,,https://www.af-1.jp/bottle/10845.jpg
紀土 純米大吟醸 shibata's be cool,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,3600,今年の夏はshibataで乗り切れ！,,https://www.af-1.jp/bottle/12302.jpg
紀土 純米大吟醸 shibata's be cool,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1800,今年の夏はshibataで乗り切れ！,,https://www.af-1.jp/bottle/12302.jpg
紀土 純米大吟醸 宙へ MOMO7号記念酒,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,3600,祝！！紀土燃料ロケット打ち上げ成功！！,,https://www.af-1.jp/bottle/12276.jpg
紀土 純米大吟醸 宙へ MOMO7号記念酒,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1800,祝！！紀土燃料ロケット打ち上げ成功！！,,https://www.af-1.jp/bottle/12276.jpg
本紀土 純米大吟醸,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,3100,"旨さ華やかさそのまま！
美しい低アル純米大吟醸！",,https://www.af-1.jp/bottle/10337.jpg
	本紀土 純米大吟醸,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1550,"旨さ華やかさそのまま！
美しい低アル純米大吟醸！",,https://www.af-1.jp/bottle/10337.jpg
赤 紀土-KID-,平和酒造,,中口,やや強い,純米大吟醸,False,False,3000,悠久の紀州の風土を感じる「赤米」の酒！ 香ばしさと蜜にも感じる香りでゆったりと楽しんで,,https://www.af-1.jp/bottle/10475.jpg
赤 紀土-KID-,平和酒造,,中口,やや強い,純米大吟醸,False,False,1500,悠久の紀州の風土を感じる「赤米」の酒！ 香ばしさと蜜にも感じる香りでゆったりと楽しんで,,https://www.af-1.jp/bottle/10475.jpg
本紀土 純米酒,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,2300,和歌山の清らかな水を感じて！ 柔らかな甘みと美しい酸味がしっかり,,https://www.af-1.jp/bottle/13399.jpg
本紀土 純米酒,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1150,和歌山の清らかな水を感じて！ 柔らかな甘みと美しい酸味がしっかり,,https://www.af-1.jp/bottle/13399.jpg
紀土 純米酒 白麹仕込み 杜氏資格保有者仕込,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1800,"紀土の新境地！流行の白麹成す鮮烈な酸
「杜氏資格保有者シリーズ」第三弾！",,https://www.af-1.jp/bottle/11237.jpg
平和どぶろく 弐ノ濁,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1600,"白麹で醸すどぶろく！
さっぱりと甘い新感覚",,https://www.af-1.jp/bottle/10846.jpg
平和どぶろく 壱ノ濁,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1200,"クラフト・サケの源流!?
シンプルで無垢などぶろく!",,https://www.af-1.jp/bottle/13209.jpg
平和どぶろく 参ノ濁,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1600,"弾けるホップの爽快感！
飲みやすさ抜群のNEWどぶろく！",,https://www.af-1.jp/bottle/13346.jpg
紀土 純米吟醸酒 杜氏資格保有者仕込,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1800,"「杜氏資格保有者シリーズ」第４弾！
冷燗旨い！飲み飽きしない食中美酒！",,https://www.af-1.jp/bottle/10298.jpg
